pedido_id, fecha     , producto           , categoria, cantidad, precio_unitario, metodo_pago  , estado     , tiempo_entrega_min
P001     , 2026-08-07, Ensalada           , Comida   , 1       ,         13000.0, Efectivo     , Entregado  , 28.0
P002     , 2026-08-08, Café               , Bebida   , 3       ,          5000.0, Transferencia, Entregado  , 22.0
P003     , 2026-08-19, Helado             , Postre   , 1       ,          8000.0, Efectivo     , Cancelado  , 
P004     , 2026-08-21, Sándwich de pollo  , Comida   , 3       ,         14000.0, Efectivo     , Entregado  , 43.0
P005     , 2026-08-01, Sándwich de pollo  , Comida   , 2       ,         14000.0, tarjeta      , Entregado  , 31.0
P006     , 2026-08-14, Gaseosa            , Bebida   , 2       ,          6000.0, Transferencia, Entregado  , 38.0
P007     , 2026-08-07, Café               , Bebida   , 3       ,          5000.0, Tarjeta      , Entregado  , 44.0
P008     , 2026-08-12, Jugo natural       , Bebida   , 3       ,          7000.0, Tarjeta      , Preparación, 
P009     , 2026-08-07, Brownie            , Postre   , 2       ,          6500.0, Efectivo     , Entregado  , 34.0
P010     , 2026-08-02, Jugo natural       , Bebida   , 2       ,          7000.0, Efectivo     , Preparación, 
P011     , 2026-08-09, Brownie            , Postre   , 2       ,          6500.0, Tarjeta      , entregado  , 
P012     , 2026-08-06, Ensalada           , Comida   , 1       ,         13000.0, Tarjeta      , Entregado  , 18.0
P013     , 2026-08-17, Hamburguesa clásica, Comida   , 2       ,         18000.0, Efectivo     , Entregado  , 39.0
P014     , 2026-08-19, Sándwich de pollo  , Comida   , 3       ,         14000.0, Efectivo     , Entregado  , 40.0
P015     , 2026-08-03, Ensalada           , Comida   , 2       ,         13000.0, Efectivo     , Entregado  , 31.0
P016     , 2026-08-20, Ensalada           , Comida   , 1       ,         13000.0, Transferencia, Cancelado  , 
P017     , 2026-08-03, Gaseosa            , Bebida   , 1       ,          6000.0, Efectivo     , Entregado  , 19.0
P018     , 2026-08-11, Café               , Bebida   , 1       ,          5000.0, TARJETA      , Preparación, 
P019     , 2026-08-17, Helado             , Postre   , 3       ,          8000.0, Efectivo     , Cancelado  , 
